Fecha,Metal,Valor,Unidad,,
17-11-2017,Plata,17.09,US$/ozt,,
17-11-2017,Molibdeno,8.65,¢US/lb,,
17-11-2017,Inventarios,"247,700.00",TM,,
20-11-2017,Cobre,306.27,¢US/lb,,
20-11-2017,Oro,"1,292.35",US$/ozt,,
20-11-2017,Plata,17.15,US$/ozt,,
20-11-2017,Molibdeno,8.65,¢US/lb,,
20-11-2017,Inventarios,"241,400.00",TM,,
21-11-2017,Cobre,309.71,¢US/lb,,
21-11-2017,Oro,"1,280.00",US$/ozt,,
21-11-2017,Plata,17.00,US$/ozt,,
21-11-2017,Molibdeno,8.65,¢US/lb,,
21-11-2017,Inventarios,"234,375.00",TM,,
22-11-2017,Cobre,311.73,¢US/lb,,
22-11-2017,Oro,"1,283.95",US$/ozt,,
22-11-2017,Plata,16.97,US$/ozt,,
22-11-2017,Molibdeno,8.65,¢US/lb,,
22-11-2017,Inventarios,"226,275.00",TM,,
23-11-2017,Cobre,312.77,¢US/lb,,
23-11-2017,Oro,"1,290.15",US$/ozt,,
23-11-2017,Plata,17.10,US$/ozt,,
23-11-2017,Molibdeno,8.65,¢US/lb,,
23-11-2017,Inventarios,"219,075.00",TM,,
24-11-2017,Cobre,316.04,¢US/lb,,
24-11-2017,Oro,"1,289.15",US$/ozt,,
24-11-2017,Plata,17.10,US$/ozt,,
24-11-2017,Molibdeno,8.65,¢US/lb,,
24-11-2017,Inventarios,"213,600.00",TM,,
27-11-2017,Cobre,312.62,¢US/lb,,
27-11-2017,Oro,"1,294.70",US$/ozt,,
27-11-2017,Plata,17.10,US$/ozt,,
27-11-2017,Molibdeno,8.65,¢US/lb,,
27-11-2017,Inventarios,"204,200.00",TM,,
28-11-2017,Cobre,308.44,¢US/lb,,
28-11-2017,Oro,"1,293.90",US$/ozt,,
28-11-2017,Plata,17.07,US$/ozt,,
28-11-2017,Molibdeno,"8,650.00",¢US/lb,,
28-11-2017,Inventarios,"298,275.00",TM,,
29-11-2017,Cobre,306.47,¢US/lb,,
29-11-2017,Oro,"1,294.85",US$/ozt,,
29-11-2017,Plata,16.90,US$/ozt,,
29-11-2017,Molibdeno,"8,650.00",¢US/lb,,
29-11-2017,Inventarios,"191,725.00",TM,,
30-11-2017,Cobre,306.67,¢US/lb,,
30-11-2017,Oro,"1,282.20",US$/ozt,,
30-11-2017,Plata,16.57,US$/ozt,,
30-11-2017,Molibdeno,"8,650.00",¢US/lb,,
30-11-2017,Inventarios,"188,525.000",TM,,
01-12-2017,Cobre,305.45,¢US/lb,,
01-12-2017,Oro,"1,277.25",US$/ozt,,
01-12-2017,Plata,16.42,US$/ozt,,
01-12-2017,Molibdeno,"8,500.00",¢US/lb,,
01-12-2017,Inventarios,"183,525",TM,,
04-12-2017,Cobre,308.76,¢US/lb,,
04-12-2017,Oro,"1,279.10",US$/ozt,,
04-12-2017,Plata,16.33,US$/ozt,,
04-12-2017,Molibdeno,"8,500.00",¢US/lb,,
04-12-2017,Inventarios,"182,425",TM,,
05-12-2017,Cobre,301.41,¢US/lb,,
05-12-2017,Oro,"1,275.90",US$/ozt,,
05-12-2017,Plata,16.29,US$/ozt,,
05-12-2017,Molibdeno,"8,500.00",¢US/lb,,
05-12-2017,Inventarios,"192,550",TM,,
06-12-2017,Cobre,296.60,¢US/lb,,
06-12-2017,Oro,"1,268.55",US$/ozt,,
06-12-2017,Plata,16.12,US$/ozt,,
06-12-2017,Molibdeno,"8,500.00",¢US/lb,,
06-12-2017,Inventarios,"193,675",TM,,
07-12-2017,Cobre,296.22,¢US/lb,,
07-12-2017,Oro,"1,256.80",US$/ozt,,
07-12-2017,Plata,15.91,US$/ozt,,
07-12-2017,Molibdeno,"8,500.00",¢US/lb,,
07-12-2017,Inventarios,"193,975",TM,,
08-12-2017,Cobre,296.58,¢US/lb,,
08-12-2017,Oro,"1,245.85",US$/ozt,,
08-12-2017,Plata,15.91,US$/ozt,,
08-12-2017,Molibdeno,"8,500.00",¢US/lb,,
08-12-2017,Inventarios,"195,150",TM,,
11-12-2017,Cobre,296.99,¢US/lb,,
11-12-2017,Oro,"1,251.40",US$/ozt,,
11-12-2017,Plata,15.84,US$/ozt,,
11-12-2017,Molibdeno,"8,500.00",¢US/lb,,
11-12-2017,Inventarios,"194,600",TM,,
12-12-2017,Cobre,300.01,¢US/lb,,
12-12-2017,Oro,"1,243.40",US$/ozt,,
12-12-2017,Plata,15.78,US$/ozt,,
12-12-2017,Molibdeno,"8,500.00",¢US/lb,,
12-12-2017,Inventarios,"193,475",TM,,
13-12-2017,Cobre,303.23,¢US/lb,,
13-12-2017,Oro,"1,241.60",US$/ozt,,
13-12-2017,Plata,15.71,US$/ozt,,
13-12-2017,Molibdeno,"8,500.00",¢US/lb,,
13-12-2017,Inventarios,"191,600",TM,,
14-12-2017,Cobre,304.95,¢US/lb,,
14-12-2017,Oro,"1,255.60",US$/ozt,,
14-12-2017,Plata,16.01,US$/ozt,,
